PSMB4 PSMC4 1.0
PSMB4 PSMD8 1.0
PSMB4 PSMA3 1.0
PSMB4 PSMD7 1.0
PSMB4 PSMA2 1.0
PSMB4 PSMB7 1.0
PSMB4 PSMC1 1.0
PSMB4 PSMA6 1.0
PSMB4 PSMB1 1.0
PSMB4 PSMD3 1.0
PSMB4 PSMB6 1.0
PSMB4 PSMA5 1.0
PSMB4 PSMB2 1.0
PSMB4 PSMD1 1.0
PSMB4 PSMB3 1.0
PSMB4 PSMC3 1.0
PSMB4 PSMD12 1.0
PSMB4 PSMB10 1.0
PSMB4 PSMD13 1.0
PSMB4 PSMD6 1.0
PSMB4 PSMD14 1.0
PSMB4 PSMA1 1.0
PSMB4 PSMB8 1.0
PSMB4 PSMA7 1.0
PSMB4 PSMC6 1.0
PSMB4 PSMD2 1.0
PSMB4 PSMB5 1.0
PSMA6 PSMC4 1.0
PSMA6 PSMD8 1.0
PSMA6 PSMA3 1.0
PSMA6 PSMD7 1.0
PSMA6 PSMA2 1.0
PSMA6 PSMB7 1.0
PSMA6 PSMC1 1.0
PSMA6 PSMB1 1.0
PSMA6 PSMD6 1.0
PSMA6 PSMA1 1.0
PSMA6 PSMC6 1.0
PSMA6 PSMB2 1.0
PSMA6 PSMD1 1.0
PSMA6 PSMB3 1.0
PSMA6 PSMB6 1.0
PSMA6 PSMC3 1.0
PSMA6 PSMD3 1.0
PSMA6 PSMD12 1.0
PSMA6 PSMB10 1.0
PSMA6 PSMA5 1.0
PSMA6 PSMD14 1.0
PSMA6 PSMB8 1.0
PSMA6 PSMA7 1.0
PSMA6 PSMD2 1.0
PSMA6 PSMB5 1.0
PSMB1 PSMC4 1.0
PSMB1 PSMD8 1.0
PSMB1 PSMA3 1.0
PSMB1 PSMD7 1.0
PSMB1 PSMA2 1.0
PSMB1 PSMB7 1.0
PSMB1 PSMC1 1.0
PSMB1 PSMD6 1.0
PSMB1 PSMA1 1.0
PSMB1 PSMC6 1.0
PSMB1 PSMB2 1.0
PSMB1 PSMD1 1.0
PSMB1 PSMB3 1.0
PSMB1 PSMB6 1.0
PSMB1 PSMC3 1.0
PSMB1 PSMD3 1.0
PSMB1 PSMD12 1.0
PSMB1 PSMB10 1.0
PSMB1 PSMD13 1.0
PSMB1 PSMA5 1.0
PSMB1 PSMD14 1.0
PSMB1 PSMB8 1.0
PSMB1 PSMA7 1.0
PSMB1 PSMD2 1.0
PSMB1 PSMB5 1.0
PSMC4 PSMD6 1.0
PSMC4 PSMA1 1.0
PSMC4 PSMB7 1.0
PSMC4 PSMC6 1.0
PSMC4 PSMA2 1.0
PSMC4 PSMA3 1.0
PSMC4 PSMB2 1.0
PSMC4 PSMD1 1.0
PSMC4 PSMD10 1.0
PSMC4 PSMB3 1.0
PSMC4 PSMB6 1.0
PSMC4 PSMC3 1.0
PSMC4 PSMD8 1.0
PSMC4 PSMD3 1.0
PSMC4 PSMD12 1.0
PSMC4 PSMD13 1.0
PSMC4 PSMA5 1.0
PSMC4 PSMD7 1.0
PSMC4 PSMD14 1.0
PSMC4 PSMB8 1.0
PSMC4 PSMA7 1.0
PSMC4 PSMC1 1.0
PSMC4 PSMD2 1.0
PSMC4 PSMB5 1.0
PSMD6 PSMD8 1.0
PSMD6 PSMA3 1.0
PSMD6 PSMD7 1.0
PSMD6 PSMA2 1.0
PSMD6 PSMB7 1.0
PSMD6 PSMC1 1.0
PSMD6 PSMD3 1.0
PSMD6 PSMA5 1.0
PSMD6 PSMD1 1.0
PSMD6 PSMD2 1.0
PSMD6 PSMD12 1.0
PSMD6 PSMB10 1.0
PSMD6 PSMB5 1.0
PSMD6 PSMA7 1.0
PSMD6 PSMB2 1.0
PSMD6 PSMB8 1.0
PSMD6 PSMD14 1.0
PSMD6 PSMD13 1.0
PSMD6 PSMC6 1.0
PSMD6 PSMA1 1.0
PSMD6 PSMB3 1.0
PSMD6 PSMC3 1.0
PSMA1 PSMD8 1.0
PSMA1 PSMA3 1.0
PSMA1 PSMD7 1.0
PSMA1 PSMA2 1.0
PSMA1 PSMB7 1.0
PSMA1 PSMC1 1.0
PSMA1 PSMD3 1.0
PSMA1 PSMB6 1.0
PSMA1 PSMA5 1.0
PSMA1 PSMD1 1.0
PSMA1 PSMD2 1.0
PSMA1 PSMD12 1.0
PSMA1 PSMB5 1.0
PSMA1 PSMA7 1.0
PSMA1 PSMB2 1.0
PSMA1 PSMB8 1.0
PSMA1 PSMD14 1.0
PSMA1 PSMD13 1.0
PSMA1 PSMC6 1.0
PSMA1 PSMB3 1.0
PSMA1 PSMC3 1.0
PSMB7 PSMD8 1.0
PSMB7 PSMA3 1.0
PSMB7 PSMD7 1.0
PSMB7 PSMA2 1.0
